,스토리지(infotrend),,\\172.16.1.62\files\\indata_drving\,스냅샷을 위해서 전체포맷 예정,,,,,,,,,,,,,,,,,,
,폴더명,,설명,비고,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Library_h265,,드라이빙플레이트 H265 모음,260203 기준 80개 보유,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_Library_nclc,,드라이빙플레이트 NotchLC 모음,260203 기준 80개 보유,,,,,,,,,,,,,,,,,,
,11_AME_Watch,,Adobe Media Encoder 감시폴더,,,,,,,,,,,,,,,,,,,
,12_AME_Output,,Adobe Media Encoder 변환폴더,,,,,,,,,,,,,,,,,,,
,스토리지(Qumulo),,\\172.16.1.31\files\\indata\2_DrivingPlate,,,,,,,,,,,,,,,,,,,
,폴더명,,설명,비고,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Original,,드라이빙플레이트 원본소스,,,,,,,,,,,,,,,,,,,
,01_DrivingPlate_Test Source,,드라이빙 테스트 촬영 소스,,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_ing,,드라이빙 파일 분류 및 컨버팅 작업용,,,,,,,,,,,,,,,,,,,
,03_DrivingPlate_Library_h265,,드라이빙플레이트 H265 모음,,,,,,,,,,,,,,,,,,,
,02_DrivingPlate_Library_nclc,,드라이빙플레이트 NotchLC 모음,55tb 임시 백업 진행중,,,,,,,,,,,,,,,,,,
,05_DrivingPlate_SW,,"LUT,파일일괄변경,개발툴 등",,,,,,,,,,,,,,,,,,,
,06_DrivingPlate_Multiview,,멀티뷰어 보관,1 보유소스 멀티뷰어 전체제작(frame.io&youtube),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
번호,04_DrivingPlate_Library 보유 현황,,촬영 및 LUT,영상길이,편집가능시간대,편집 진행사항,"리플렉션
36,251020_N24_합정역-마포구청역_24p,V-log,덱스터(V-log),0:01:15,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251020_N24_합정역-마포구청역_24pV-Log to V-709_multiview.,,,,,,,,,,
37,251021_M23_영동대교_상행_새벽_24p,V-log,덱스터(V-log),0:03:15,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,"버라이어티
포핸즈_260225",아침,,251021_M23_영동대교_상행_새벽_24pV-Log to V-709_multiview.,,,,,,,,,,
38,251021_M24 영동대교_하행_새벽_24p,V-log,덱스터(V-log),0:03:48,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,아침,,251021_M24 영동대교_하행_새벽_24pV-Log to V-709_multiview.,,,,,,,,,,
39,251021_M25 영동대교_상행_아침_24p,V-log,덱스터(V-log),0:03:08,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,아침,,251021_M25 영동대교_상행_아침_24pV-Log to V-709_multiview.,,,,,,,,,,
40,251021_M26 영동대교_하행_아침_24p,V-log,덱스터(V-log),0:03:46,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,아침,,251021_M26 영동대교_하행_아침_24pV-Log to V-709_multiview.,,,,,,,,,,
41,251021_N01_청담-영동대교남단_24p,V-log,덱스터(V-log),0:01:32,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251021_N01_청담-영동대교남단_24pV-Log to V-709_multiview.,,,,,,,,,,
42,251021_N02_영동대교남단-청담_24p,V-log,덱스터(V-log),0:01:37,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251021_N02_영동대교남단-청담_24pV-Log to V-709_multiview.,,,,,,,,,,
43,251021_N06_영동대교 상행_24p,V-log,덱스터(V-log),0:02:24,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251021_N06_영동대교 상행_24pV-Log to V-709_multiview.,,,,,,,,,,
44,251021_N09_영동대교 하행_24p,V-log,덱스터(V-log),0:03:19,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251021_N09_영동대교 하행_24pV-Log to V-709_multiview.,,,,,,,,,,
45,251021_N15_역삼역-서울세관_24p,V-log,덱스터(V-log),0:02:54,,,360 & TOP,60p 프레임보간 및 안정화 작업 필요,버라이어티,밤,,251021_N15_역삼역-서울세관_24pV-Log to V-709_multiview.,,,,,,,,,,
